,name,topics
0,data science hands-on with open source tools (archived),interpret/r/spark/workflow/apache/c/scala/studio/spa/history/art/star/apache spark/story/ci/his/xp/export/cc/sc/workbench
1,data science for scala,statistics/r/pipeline/tuning/ping/valuation/ip/c/sampling/app/cs/led/decision trees/vector/oos/ci/xp/normalization/formulas/comp/hypothesis testing/si/ul/stat/pipe/ee/forest/frame/ion/vectors
2,machine learning with r,machine learning/algorithms/plus/r/reliability/valuation/c/liability/fit/classification/mac/cluster/decision trees/ci/unsupervised learning/linkage/si/vs/collaborative filtering/dimensionality reduction/feature extraction/fitting/traction/dell/stat/ee/forest/statistica/ion
3,data science tools,interpret/r/spark/apache/c/scala/studio/spa/history/art/star/apache spark/story/his/sc
4,deep learning fundamentals,deep learning/r/c/au/mac/cas/si/reason/ee/ion
5,deep learning with tensorflow,r/c/app/au/history/mac/story/his/unsupervised learning/gis/logistic regression/linear regression/si/collaborative filtering/ee/ion
6,digital analytics & regression,analytics/data analytics/access/r/context/c/studio/fit/cs/ci/his/bus/box/linear regression/si/ul/ots/histograms/cc/stat/sc/workbench/ion
7,data science with open data,analytics/data science/cloud/visualization/data visualization/access/r/government/word/video/ip/c/studio/instructions/fit/cs/ci/cas/open data/si/instruction/fits/cc/sc/ion
8,introduction to data science,data science/python/cloud/r/live/ip/c/app/recruiting/art/star/ci/ngs/comp/si/her/ul/sc/ion
9,big data 101,big data/data science/security/intelligence/r/scientists/framework/hadoop/adoption/ecosystem/stem/c/cs/ci/xp/si/sc/frame/ion
10,machine learning with python,machine learning/python/r/stem/valuation/c/recommender systems/mac/cluster/decision trees/vector/ci/unsupervised learning/gis/logistic regression/linear regression/si/vs/collaborative filtering/ee/ion
11,python for data science,writing/pandas/r/c/ops/lists/express/dictionaries/xp/expressions/si/ion
12,game-playing ai with swift for tensorflow,cloud/web/r/ibm/search/c/app/reinforcement learning/reinforcement/art/signing/cart/si/swift/cc/ee
13,analyzing big data in r using apache spark,sql/machine learning/r/spark/interfaces/c/spa/mac/ul/glm/frame
14,machine learning with apache systemml,algorithms/r/stack/stem/context/des/c/scala/dm/mac/xp/comp/si/rman/optimizer/sc/ion
15,accelerating deep learning with gpu,cloud/deep learning/r/pipeline/running/ip/neural networks/c/prediction/vs/cp/cc/pipe/ee/ion
16,data science methodology,modeling/data collection/r/valuation/c/app/data preparation/bus/si/ee/ion
17,spark mllib,r/spark/tuning/des/output/c/app/spa/au/led/classification/mac/cluster/decision trees/vector/ci/gis/logistic regression/linear regression/si/pars/parse/sc/ee/forest/ion
18,machine learning â€“ dimensionality reduction,r/ip/c/ci/xp/comp/si/ion
